Name,Project,Description,Flowsheet module,Unit models,Unit model repositories,"Inherited model (name, unit model)",Inherited model repository,Control volumes,Control volume repositories,Property packages,Property package repositories,Reaction packages,Reaction package repositories,Configurations,Specifications for operating conditions,Mandatory config options
Energy Recovery (ZO),WaterTAP,,,EnergyRecoveryZO,watertap/unit_models/zero_order/energy_recovery_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Energy Recovery Device,WaterTAP,,,EnergyRecoveryDevice,watertap/unit_models/pressure_changer.py,"Pump, Pump (class PumpIsothermalData)",watertap/unit_models/pressure_changer.py,,,"SeawaterParameterBlock
MCASParameterBlock
(Liq phase)","watertap/property_models/seawater_prop_pack.py
watertap/property_models/multicomp_aq_sol_prop_pack.py",,,"material_balance_type
energy_balance_type
momentum_balance_type
has_phase_equilibrium
compressor
thermodynamic_assumption
support_isentropic_performance_curves
isentropic_performance_curves
isentropic_performance_curves (build_callback, build_head_expressions)
variable_efficiency","Outlet pressure or pressure change across the inlet and outlet, energy recovery device efficiency.",
eNRTL Activity Coefficient,IDAES,Generic model for Electrolyte Non-Random Two Liquid activity coefficient model,,,,,,,,,idaes/models/properties/modular_properties/eos,,,,,
"eNRTL, aqueous solutions of NaCl and KCl",IDAES,Example for using the eNRTL model for aqueous solutions of NaCl and KCl.,,,,,,,,,idaes/models/properties/modular_properties/examples/enrtl_H2O_NaCl_KCl.py,,,,,
"eNRTL, solutions of NaBr in mixed solvents",IDAES,Example of using the eNRTL model to model solutions of NaBr in mixed solvents.,,,,,,,,,idaes/models/properties/modular_properties/examples/enrtl_NaBr_mixed_solvent.py,,,,,
Equation of State: Span-Wagner,IDAES,Span-Wager property package for CO2.,,,,,,,,SWCO2ParameterBlock,idaes/models/properties/swco2.py,,,,,
Equilibrium reactions forms,IDAES,Methods for defining equilibrium reactions.,,,,,,,,,,,idaes/models/properties/modular_properties/reactions/equilibrium_forms.py,,,
Equilibrium reactor,IDAES,Standard IDAES equilibrium reactor model.,,EquilibriumReactor,idaes/models/unit_models/equilibrium_reactor.py,,,,,SaponificationParameterBlock,idaes/models/properties/examples/saponification_thermo.py,SaponificationReactionParameterBlock,idaes/models/properties/examples/saponification_reactions.py,"dynamic
has_holdup
material_balance_type
energy_balance_type
momentum_balance_type
has_rate_reactions
has_equilibrium_reactions
has_phase_equilibrium
has_heat_transfer
has_heat_of_reaction
has_pressure_change
property_package
property_package_args
reaction_package
reaction_package_args","Inlet feed state variables (molar flowrate, component concentrations, temperature, pressure), unit volume, heat duty, perssure drop",
Evaporation pond,PrOMMiS,"The Evaporation Pond model is a general purpose model for representing evaporation ponds (both solar and enhanced). Currently, the model only supports steady-state operation
(although it could be easily extended to dynamics). The model also only supports material balances with equilibrium reactions, as energy and momentum balances are less meaningful given the open-air nature of these operations and the long-duration time
constants involved.",,EvaporationPond, prommis/evaporation_pond/evaporation_pond,,,,,BrineParameters,prommis/evaporation_pond/tests/example_properties,BrineReactionParameters,prommis/evaporation_pond/tests.example_reactions,,"Inlet flowrate and concentrations, surface area, average pond depth, and evaporation rate",
Evaporation Pond (ZO),WaterTAP,,,EvaporationPondZO,watertap/unit_models/zero_order/evaporation_pond_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Feed,IDAES,Standard IDAES Feed block.,,Feed,idaes/models/unit_models/feed.py,,,,,,,,,"dynamic
has_holdup
property_package  property_package_args",,
Feed (ZO),WaterTAP,,,FeedZO,watertap/unit_models/zero_order/feed_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,,,
Feed Flash,IDAES,Standard IDAES feed block with phase equilibrium.,,FeedFlash,idaes/models/unit_models/feed_flash.py,,,,,,,,,"dynamic
has_holdup
material_balance_type
flash_type
property_package
property_package_args",,
Feed roaster,PrOMMiS,"This model represents a roaster/calcination unit for Rare Earth Element (REE) feedstock, which includes rare earth minerals, gangue/impurity minerals, moisture, and combustible organic materials.",,REEFeedRoaster,prommis/roasting/ree_feed_roaster,,,,,GenericParameterBlock (gas); CoalRefuseParameters (solid).,idaes/models.properties/modular_properties/base/generic_property prommis/leaching/leach_solution_properties ,,,has_holdup;    has_heat_transfer; has_pressure_change;       ree_list,"Pressure drop, gas inlet temperature, pressure, mole flowrate, and mole fractions, gas outlet temperature, solid inlet temperature, mass flowrate, mass fractions, REE concentrations, conversion ratios of insolubale REE to dissovable REE, recovery fraction for REE and impurity", has_pressure_change
Feed Water Tank (ZO),WaterTAP,,,FeedWaterTankZO,watertap/unit_models/zero_order/feed_water_tank_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Filter Press (ZO),WaterTAP,,,FilterPressZO,watertap/unit_models/zero_order/filter_press_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Fixed Bed (ZO),WaterTAP,,,FixedBedZO,watertap/unit_models/zero_order/fixed_bed_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Flash,IDAES,Flash unit model.,,Flash,idaes/models/unit_models/flash.py,,,,,"BTX_activity_coeff_VLE
iapws95
GenericParameterBlock, BT_ideal","idaes/models/properties/activity_coeff_models/BTX_activity_coeff_VLE.py
idaes/models/properties/iapws95.py
idaes/models/properties/modular_properties/base/generic_property.py
idaes/models/properties/modular_properties/examples/BT_ideal.py",,,,,
Gas Sparged Membrane (ZO),WaterTAP,,,GasSpargedMembraneZO,watertap/unit_models/zero_order/gas_sparged_membrane_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Gas viscosity at low pressures,IDAES,Gas viscosity at low pressures from Chapman Enskog theory using Lennard Jones parameters.,,,,,,,,,idaes/models/properties/modular_properties/pure/ChapmanEnskog.py,,,,,
Generic Desalter Unit,WaterTAP,,,GenericDesalter,watertap/unit_models/generic_desalter.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
has_pressure_change
tracked_solids_list","Inlet state variables (i.e., temperature, pressure, component mass compositions), water recovery or solids concentration in brine* and water content of the brine*.
*User must provide tracked solids list.",
Generic Property Framework,IDAES,General framework for supporting modular thermophsyical property packages.,,,,,,,,,idaes/models/properties/modular_properties/base/generic_property.py,,,,,
Generic Reaction Framework,IDAES,General framework for supporting modular reaction packages.,,,,,,,,,,,idaes/models/properties/modular_properties/base/generic_reaction.py,,,
Generic Separator Unit,WaterTAP,,,GenericSeparation,watertap/unit_models/generic_separation.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
has_pressure_change","Inlet state variables (i.e., temperature, pressure, component mass compositions), percent of component to remove from feed stream, amount of chemical to add for operation (additive_dose).",
Gibbs reactor,IDAES,Standard IDAES Gibbs reactor model.,,GibbsReactor,idaes/models/unit_models/gibbs_reactor.py,,,,,"GenericParameterBlock, MethaneParameterBlock","idaes/models/properties/activity_coeff_models/methane_combustion_ideal.py
idaes/models/properties/modular_properties/base/generic_property.py
idaes/models_extra/power_generation/properties/natural_gas_PR.py",,,,,
Granular Activated Carbon (GAC),WaterTAP,,,GAC,watertap/unit_models/gac.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type
film_transfer_coefficient_type
surface_diffusion_coefficient_type
target_species
finite_elements_ss_approximation","Inlet state variables (i.e., temperature, pressure, component flowrates), Freundlich adsorption isotherm parameters, Stanton number equation parameters, throughput ratio equation parameters,  particle apparent density, particle diameter, empty bed contact time, bed voidage or particle bulk density, superficial velocity or bed length, effluent to inlet concentration ratio at operational time or steady state approximation of average effluent to inlet concentration ratio in operational time by trapezoid rule or bed volumes treated, surface diffusion coefficient, liquid phase film transfer coefficient.
When setting the configuration options to calculate the surface diffusion coefficient and liquid phase film transfer coefficient: shape correction factor, particle porosity, tortuosity of the path that the adsorbate must take as compared to the radius, surface-to-pore diffusion flux ratio.",
Granular Activated Carbon (ZO),WaterTAP,,,GACZO,watertap/unit_models/zero_order/gac_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Heat exchanger 0D,IDAES,Simple 0D heat exchanger model.,,HeatExchanger,idaes/models/unit_models/gibbs_reactor.py,,,,,,,,,,,
Heat exchanger 1D,IDAES,Simple 1D heat exchanger model.,,HeatExchanger1D,idaes/models/unit_models/heat_exchanger_1D.py,,,,,,,,,,,
Heat exchanger lumped capacitance,IDAES,Extension of the IDAES 0D heat exchanger model for transient simulations.,,HeatExchangerLumpedCapacitance,idaes/models/unit_models/heat_exchanger_lc.py,,,,,,,,,,,
Heat exchanger NTU,IDAES,IDAES heat exchanger model using effectiveness-NTU method.,,HeatExchangerNTU,idaes/models/unit_models/heat_exchanger_ntu.py,,,,,,,,,,,
Heat of reaction,IDAES,Methods for calculating heat of reaction.,,,,,,,,,,,idaes/models/properties/modular_properties/reactions/dh_rxn.py,,,
Heater,IDAES,Simple 0D heater/cooler model.,,Heater,idaes/models/unit_models/heater.py,,,,,,,,,,,
Helmholtz Equation of State,IDAES,General framework for Helmholtz equation of state models.,,,,,,,,,idaes/models/properties/helmholtz/helmholtz.py,,,,,
Helmholtz Equation of State: IAPWS95,IDAES,IAPWS95 property package for water and steam.,,,,,,,,Iapws95ParameterBlock,idaes/models/properties/iapws95.py,,,,,
Henry's Law,IDAES,Methods for calculating fugacity of Henry's Law components.,,,,,,,,,idaes/models/properties/modular_properties/phase_equil/henry.py,,,,,
High-Rate Contact Stabilization (ZO),WaterTAP,,,HRCSZO,watertap/unit_models/zero_order/hrcs_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
"Hydrocarbon processing phase equilibrium, Peng-Robinson ",IDAES,Hydrocarbon processing phase equilibrium package using Peng-Robinson EoS.,,,,,,,,,idaes/models/properties/modular_properties/examples/HC_PR.py,,,,,
"Hydrocarbon processing vapor phase, Peng-Robinson",IDAES,Hydrocarbon processing vapor phase package using Peng-Robinson EoS.,,,,,,,,,idaes/models/properties/modular_properties/examples/HC_PR_vap.py,,,,,
Hydrothermal Gasification (ZO),WaterTAP,,,HTGZO,watertap/unit_models/zero_order/hydrothermal_gasification_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Ideal Gases and Liquids,IDAES,Generic module for ideal gas and liquid properties,,,,,,,,,idaes/models/properties/modular_properties/eos,,,,,
Injection Well Disposal (ZO),WaterTAP,,,InjectionWellDisposalZO,watertap/unit_models/zero_order/injection_well_disposal_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Integrated Anaerobic Membrane Bioreactor/Microbial Electrolysis Cell (ZO),WaterTAP,,,AnaerobicMBRMECZO,watertap/unit_models/zero_order/anaerobic_mbr_mec_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Intrusion Mitigation (ZO),WaterTAP,,,IntrusionMitigationZO,watertap/unit_models/zero_order/intrusion_mitigation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Ion Exchange (0D),WaterTAP,,,IonExchange0D,watertap/unit_models/ion_exchange_0D.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
target_ion
regenerant
hazardous_waste
isotherm","Inlet feed state variables (temperature, pressure, component molar flowrate), resin bead diameter, resin bulk density, bed porosity, service flow rate or superficial velocity through bed, number of operational columns.
If isotherm is set to langmuir: Langmuir isotherm coefficient, resin maximum capacity, dimensionless time.
If isotherm is set to freundlich: Freundlich isotherm exponent, bed volumes of feed at breakthru concentration, dimensionless (relative) concentration of target ion, bed volumes of feed at 50 percent breakthrough or mass transfer coefficient for Clark model (kT).",
Ion Exchange (ZO),WaterTAP,,,IonExchangeZO,watertap/unit_models/zero_order/ion_exchange_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Iron And Manganese Removal (ZO),WaterTAP,,,IronManganeseRemovalZO,watertap/unit_models/zero_order/iron_and_manganese_removal_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Landfill (ZO),WaterTAP,,,LandfillZO,watertap/unit_models/zero_order/landfill_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Leaching,PrOMMiS,"The Leach Train unit model represents a series of leaching tanks in which a solid and liquid stream are contacted and
undergo heterogeneous chemical reactions.",,LeachingTrain,prommis/leaching/leach_train.py,,,,,LeachSolutionParameters (liquid); CoalRefuseParameters (solid),"prommis/leaching/leach_solids_properties prommis/leaching/leach_solution_properties;
prommis/src/prommis/solid_handling/crusher_solids_properties.py",CoalRefuseLeachingReactions,prommis/leaching/leach_reactions.py,number_of_tanks,"Liquid inlet flowrate and concentrations, solid inlet mass flowrate and fractions",
Low pressure pure component gas thermal conductivity,IDAES,Eucken correlation to calculate low pressure pure component gas thermal conductivity.,,,,,,,,,idaes/models/properties/modular_properties/pure/Eucken.py,,,,,
Magprex (ZO),WaterTAP,,,MagprexZO,watertap/unit_models/zero_order/magprex_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
"Mechanical Vapor Compression (MVC)
Flowsheet",WaterTAP,,,"Feed
Separator
Mixer
Product (x2; brine distillate)
Translator
HeatExchanger (x2; brine, distillate)
Evaporator
Compressor
Condenser
Pump (x3, feed, brine, distillate)","watertap/flowsheets/mvc/mvc_single_stage.py
idaes/models/unit_models/feed.py
idaes/models/unit_models/separator.py
idaes/models/unit_models/mixer.py
idaes/models/unit_models/product.py
idaes/models/unit_models/translator.py
idaes/models/unit_models/heat_exchanger.py
watertap/unit_models/mvc/components/evaporator.py
watertap/unit_models/mvc/components/compressor.py
watertap/unit_models/mvc/components/complete_condenser.py
watertap/unit_models/pressure_changer.py",,,,,"SeawaterParameterBlock (Liq phase)
WaterParameterBlock (Vap phase)","watertap/property_models/seawater_prop_pack.py
watertap/property_models/water_prop_pack.py",,,"Evaporator:
property_package_feed
property_package_args_feed
property_package_vapor
property_package_args_vapor
material_balance_type
energy_balance_type
momentum_balance_type
Compressor:
material_balance_type
energy_balance_type
momentum_balance_type
Condenser:
material_balance_type
energy_balance_type
momentum_balance_type","Inlet feed state variables (i.e, temperature, pressure, component flowrates and mass fractions). Evaporator: 1 outlet condition (brine or vapor temperature or pressure), overall heat transfer coefficient, area for heat exchange. Compressor: pressure ratio, work (control volume variable), isentropic efficiency. Pumps: pressure change across the inlet and outlet, pump efficiency. Heat exchangers: overall heat transfer coefficient, area for heat exchange, pressure change across the inlet and outlet.",
Media Filtration (ZO),WaterTAP,,,MediaFiltrationZO,watertap/unit_models/zero_order/media_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Membrane Aerated Biofilm Reactor (ZO),WaterTAP,,,MABRZO,watertap/unit_models/zero_order/mabr_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Membrane Bioreactor (ZO),WaterTAP,,,MBRZO,watertap/unit_models/zero_order/mbr_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Membrane Distillation (0D),WaterTAP,,,MembraneDistillation0D,watertap/unit_models/MD/membrane_distillation_0D.py,MembraneDistillationBaseData,watertap/unit_models/MD/membrane_distillation_base.py,MDChannel0DBlock,watertap/unit_models/MD/MD_channel_0D.py,"SeawaterParameterBlock
WaterParameterBlock
(Liq phase, vap phase)","watertap/property_models/seawater_prop_pack.py
watertap/property_models/water_prop_pack.py",,,"material_balance_type
energy_balance_type
momentum_balance_type
flow_direction
temperature_polarization_type
concentration_polarization_type
mass_transfer_coefficient
has_pressure_change
pressure_change_type
friction_factor
property_package_vapor
property_package_args_vapor
hot_ch
cold_ch
gap_ch
MD_configuration_Type","Hot channel and cold channel inlet state variables (i.e, temperature, pressure, and component flowrates), membrane permeability coefficient, membrane thickness, membrane thermal conductivity, recovery or membrane area.
Additional degrees of freedom for: VMD (Vacuum Membrane Distillation) configuration, pressure at the cold side; GMD (Permeate Gap/Conductive Gap Membrane Distillation) configuration, gap thermal conductivity and gap thickness.
If temperature polarization, concentration polarization, mass transfer coefficient is computed: hot channel spacer porosity, hot channel height, cold channel spacer porosity (in Direct Contact Membrane Distillation, DCMD, and GMD), cold channel height (in DCMD and GMD, membrane length or membrane width",
Membrane Distillation (1D),WaterTAP,,,MembraneDistillation1D,watertap/unit_models/MD/membrane_distillation_1D.py,MembraneDistillationBaseData,watertap/unit_models/MD/membrane_distillation_base.py,MDChannel1DBlock,watertap/unit_models/MD/MD_channel_1D.py,"SeawaterParameterBlock
WaterParameterBlock
(Liq phase, vap phase)","watertap/property_models/seawater_prop_pack.py
watertap/property_models/water_prop_pack.py",,,"material_balance_type
energy_balance_type
momentum_balance_type
flow_direction
temperature_polarization_type
concentration_polarization_type
mass_transfer_coefficient
has_pressure_change
pressure_change_type
friction_factor
property_package_vapor
property_package_args_vapor
hot_ch
cold_ch
gap_ch
MD_configuration_Type
area_definition
transformation_method
transformation_scheme
finite_elements
collocation_points","Hot channel and cold channel inlet state variables (i.e, temperature, pressure, and component flowrates), membrane permeability coefficient, membrane thickness, membrane thermal conductivity, recovery or membrane area.
Additional degrees of freedom for: VMD (Vacuum Membrane Distillation) configuration, vacuum pressure at the cold side; GMD (Permeate Gap/Conductive Gap Membrane Distillation) configuration, gap thermal conductivity and gap thickness.
If temperature polarization, concentration polarization, mass transfer coefficient is computed: hot channel spacer porosity, hot channel height, cold channel spacer porosity (in Direct Contact Membrane Distillation, DCMD, and GMD), cold channel height (in DCMD and GMD, membrane length or membrane width.",
Membrane Evaporator (ZO),WaterTAP,,,MembraneEvaporator,watertap/unit_models/zero_order/membrane_evaporator_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Microbial Battery (ZO),WaterTAP,,,MicrobialBattery,watertap/unit_models/zero_order/microbial_battery_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Microfiltration (ZO),WaterTAP,,,MicroFiltrationZO,watertap/unit_models/zero_order/microfiltration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Microscreen Filtration (ZO),WaterTAP,,,MicroscreenFiltrationZO,watertap/unit_models/zero_order/microscreen_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Mixer,IDAES,General purpose mixer block for IDAES models.,,Mixer,idaes/models/unit_models/mixer.py,,,,,,,,,,,
Mixture thermal conductivity of a low pressure gas,IDAES,Wassiljew-Mason-Saxena rules to obtain mixture thermal conductivity of a low pressure gas from component thermal conductivities.,,,,,,,,,idaes/models/properties/modular_properties/transport_properties/thermal_conductivity_wms.py,,,,,
Mixture viscosity of a low pressure gas,IDAES,"Wilke rules to obtain mixture viscosity of a low pressure gas from pure component
viscosities.",,,,,,,,,idaes/models/properties/modular_properties/transport_properties/viscosity_wilke.py,,,,,
Modular Encapsulated Two-stage Anaerobic Biological Reactor (ZO),WaterTAP,,,MetabZO,watertap/unit_models/zero_order/metab_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Multiple-stream contactor,IDAES,IDAES model for a generic multiple-stream contactor unit.,,MSContactor,idaes/models/unit_models/mscontactor.py,,,,,,,,,,,
Municipal Drinking (ZO),WaterTAP,,,MunicipalWaterZO,watertap/unit_models/zero_order/municipal_drinking_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Municipal Wastewater Treatment Plant (ZO),WaterTAP,,,MunicipalWWTPZO,watertap/unit_models/zero_order/municipal_wwtp_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Nanofiltration,PrOMMiS,"This is an example flowsheet for the separation of lithium and magnesium ions using nanofiltration (NF). The unit model is the Donnan Steric Pore Model with Dielectric Exclusion (DSPM-DE) and the property model is the Multi-Component Aqueous Solution (MCAS) property package, both of which can be found in WaterTAP. Currently, the inlet feed is modeling the Salar de Atacama brine.

The objective of the Pyomo model is to limit the amount of lithium lost in the retentate stream, with 2 degrees of freedom (pressure, area). Operating at this extreme end of the tradeoff between the selectivity and permeability, combined with the low solvent flux for this example, the magnesium rejection is low (~14%). An additional constraint is enacted on the model to limit the feed pressure to 70 bar, per typical experimental capabilities.

Good references for details on the NF model, i.e., the DSPM-DE model: https://doi.org/10.1021/acs.est.2c08584 ; https://doi.org/10.1016/j.memsci.2020.118809",prommis/nanofiltration/nf_brine.py,NanofiltrationDSPMDE0D; Pump,"watertap/unit_models/nanofiltration_DSPMDE_0D;
watertap/unit_models/pressure_changer",,,,,MCASParameterBlock,watertap/property_models/multicomp_aq_sol_prop_pack,,,,"Inlet flowrate and concentrations; pump efficiency, inlet temperature and pressure, and outlet pressure; nanofiltration recovery, spacer porosity, channel height, velocity, area, outlet pressure, spacer mixing efficiency, spacer mixing length, pore radius, membrane thickness, membrane charge density, dielectric constant ",
Nanofiltration (0D),WaterTAP,,,Nanofiltration0D,watertap/unit_models/nanofiltration_0D.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"momentum_balance_type
has_pressure_change
energy_balance_type
electroneutrality_ion
passing_species_list
default_passing_rejection
default_excluded_rejection","Inlet feed state variables (i.e, temperature, pressure, component molar flowrates), permeate pressure, solvent recovery fraction, solute rejection fractions for all solutes except the one identified as the electroneutrality species, membrane area, retentate pressure drop",
Nanofiltration (ZO),WaterTAP,,,NanofiltrationZO,watertap/unit_models/nanofiltration_ZO.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type
has_pressure_change","Inlet feed state variables (i.e, temperature, pressure, solvent and solute mass flowrates). Membrane's solvent volumetric flux rate, permeate pressure, membrane's solute rejection. If solutes are ionic and contain multiple ion pairs, one ion's rejection may be unfixed for electroneutrality. Another variable, such as volumetric recovery rate or membrane area, fixes the last degree of freedom.",
Nanofiltration (ZO),WaterTAP,,,NanofiltrationZO,watertap/unit_models/zero_order/nanofiltration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Nanofiltration- Donnan Steric Pore Model with Dielectric Exclusion (0D),WaterTAP,,,NanofiltrationDSPMDE0D,watertap/unit_models/nanofiltration_DSPMDE_0D.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
momentum_balance_type
has_pressure_change
mass_transfer_coefficient
concentration_polarization_type","Inlet feed state variables (i.e, temperature, pressure, component molar flowrates), pore radius, membrane effective thickness, membrane charge density, dielectric constant of medium (pore), permeate pressure, spacer porosity, channel height, crossflow velocity in feed channel, membrane area, mass transfer coefficient for each ion or spacer net mixing efficiency and spacer characteristic length for calculating mass transfer coefficient with spiral wound correlation",
Osmotically Assisted Reverse Osmosis (0D),WaterTAP,,,OsmoticallyAssistedReverseOsmosis0D,watertap/unit_models/osmotically_assisted_reverse_osmosis_0D.py,OsmoticallyAssistedReverseOsmosisBaseData,watertap/unit_models/osmotically_assisted_reverse_osmosis_base.py,MembraneChannel0DBlock,watertap/core/membrane_channel0d.py,"NaClParameterBlock
(Liq phase)",watertap/property_models/NaCl_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
concentration_polarization_type
mass_transfer_coefficient
transport_model
module_type
has_pressure_change
pressure_change_type
friction_factor
has_full_reporting","Feed-side and permeate-side inlet state variables (i.e, temperature, pressure, component mass flowrates), membrane area, membrane water permeability A, membrane salt permeability B, structural parameter (i.e., effective thickness).
If concentration polarization effects, mass transfer coefficient, and pressure drop are calculated: feed-side and permeate-side spacer porosity, channel height, and feed-side Reynolds number or water mass recovery.
If has_pressure_change is set to True: pressure drop.
If concentration_polarization_type is set to ConcentrationPolarizationType.fixed: concentration polarization modulus in feed and permeate channels.
If concentration_polarization_type is set to ConcentrationPolarizationType.calculated: mass transfer coefficient in feed and permeate channels.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is not set to PressureChangeType.fixed_per_stage: membrane length.
If pressure_change_type is set to PressureChangeType.fixed_per_unit_length: Feed-side and permeate-side average pressure drop per unit length.
If pressure_change_type is set to PressureChangeType.calculated: friction factor, feed-side and permeate-side velocity and pressure drop per unit length.",
Osmotically Assisted Reverse Osmosis (1D),WaterTAP,,,OsmoticallyAssistedReverseOsmosis1D,watertap/unit_models/osmotically_assisted_reverse_osmosis_1D.py,OsmoticallyAssistedReverseOsmosisBaseData,watertap/unit_models/osmotically_assisted_reverse_osmosis_base.py,MembraneChannel1DBlock,watertap/core/membrane_channel1d.py,"NaClParameterBlock
(Liq phase)",watertap/property_models/NaCl_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
concentration_polarization_type
mass_transfer_coefficient
transport_model
module_type
has_pressure_change
pressure_change_type
friction_factor
area_definition
transformation_method
transformation_scheme
finite_elements
collocation_points
has_full_reporting","Feed-side and permeate-side inlet state variables (i.e, temperature, pressure, component mass flowrates), membrane area, membrane water permeability A, membrane salt permeability B, structural parameter (i.e., effective thickness).
If concentration polarization effects, mass transfer coefficient, and pressure drop are calculated: feed-side and permeate-side spacer porosity, channel height, and feed-side Reynolds number or water mass recovery.
If has_pressure_change is set to True: pressure drop.
If concentration_polarization_type is set to ConcentrationPolarizationType.fixed: concentration polarization modulus in feed and permeate channels.
If concentration_polarization_type is set to ConcentrationPolarizationType.calculated: mass transfer coefficient in feed and permeate channels.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is not set to PressureChangeType.fixed_per_stage: membrane length and width.
If pressure_change_type is set to PressureChangeType.fixed_per_unit_length: Feed-side and permeate-side average pressure drop per unit length.
If pressure_change_type is set to PressureChangeType.calculated: friction factor, feed-side and permeate-side velocity and pressure drop per unit length.",
